iter	Passed	Remaining
0	18	18589
1	20	10179
2	22	7352
3	24	6203
4	26	5327
5	28	4734
6	30	4328
7	32	4035
8	36	3974
9	41	4088
10	43	3917
11	45	3774
12	49	3749
13	51	3633
14	53	3516
15	56	3487
16	58	3385
17	60	3297
18	62	3239
19	64	3166
20	66	3093
21	68	3031
22	69	2969
23	85	3486
24	88	3463
25	91	3417
26	93	3366
27	95	3303
28	96	3240
29	98	3187
30	100	3133
31	101	3080
32	103	3042
33	105	2997
34	107	2953
35	108	2916
36	110	2880
37	112	2840
38	114	2825
39	116	2802
40	139	3266
41	144	3285
42	148	3294
43	150	3274
44	155	3293
45	157	3260
46	159	3242
47	162	3220
48	165	3207
49	169	3214
50	174	3245
51	177	3240
52	181	3242
53	202	3549
54	205	3531
55	209	3526
56	212	3508
57	215	3496
58	219	3508
59	226	3548
60	229	3531
61	233	3526
62	237	3528
63	240	3521
64	242	3493
65	245	3473
66	249	3475
67	252	3461
68	255	3452
69	262	3490
70	268	3509
71	271	3496
72	274	3484
73	284	3560
74	287	3551
75	290	3537
76	293	3520
77	296	3509
78	299	3488
79	302	3484
80	305	3465
81	307	3447
82	309	3424
83	313	3414
84	315	3398
85	318	3382
86	341	3582
87	343	3558
88	345	3534
89	347	3511
90	349	3488
91	351	3464
92	352	3441
93	354	3420
94	357	3401
95	359	3386
96	362	3375
97	365	3360
98	367	3347
99	370	3333
100	372	3313
101	374	3296
102	376	3280
103	378	3259
104	380	3241
105	382	3223
106	384	3212
107	389	3214
108	392	3212
109	394	3194
110	404	3239
111	407	3230
112	409	3213
113	411	3198
114	413	3180
115	415	3162
116	416	3147
117	419	3135
118	421	3119
119	424	3112
120	426	3101
121	429	3087
122	430	3072
123	432	3058
124	435	3050
125	438	3038
126	441	3033
127	443	3022
128	445	3010
129	448	2998
130	450	2985
131	451	2970
132	453	2956
133	455	2946
134	457	2933
135	459	2919
136	461	2904
137	463	2893
138	474	2936
139	476	2927
140	479	2919
141	496	2999
142	499	2993
143	501	2981
144	503	2970
145	505	2957
146	507	2943
147	509	2933
148	511	2922
149	513	2910
150	515	2898
151	517	2885
152	519	2877
153	521	2866
154	524	2857
155	526	2846
156	528	2837
157	530	2825
158	531	2813
159	533	2802
160	536	2793
161	538	2783
162	540	2775
163	542	2766
164	544	2757
165	547	2749
166	549	2741
167	552	2735
168	554	2727
169	556	2717
170	558	2707
171	560	2696
172	562	2686
173	564	2679
174	567	2673
175	569	2665
176	571	2659
177	574	2651
178	576	2643
179	579	2638
180	581	2631
181	583	2623
182	587	2622
183	590	2617
184	592	2611
185	595	2604
186	597	2597
187	600	2591
188	603	2588
189	606	2586
190	608	2578
191	611	2572
192	613	2565
193	616	2559
194	618	2551
195	620	2546
196	624	2543
197	626	2538
198	630	2536
199	632	2529
200	634	2522
201	638	2522
202	641	2516
203	644	2515
204	647	2510
205	649	2502
206	651	2495
207	653	2489
208	656	2485
209	660	2483
210	663	2480
211	666	2476
212	668	2471
213	671	2467
214	674	2461
215	676	2455
216	679	2451
217	681	2445
218	684	2439
219	686	2432
220	687	2424
221	689	2416
222	693	2415
223	695	2409
224	697	2403
225	699	2395
226	701	2387
227	703	2380
228	705	2375
229	708	2373
230	711	2367
231	713	2362
232	715	2355
233	717	2347
234	719	2342
235	721	2336
236	725	2334
237	727	2327
238	728	2321
239	731	2315
240	733	2310
241	735	2305
242	737	2298
243	740	2295
244	742	2289
245	745	2284
246	747	2278
247	749	2272
248	750	2264
249	752	2257
250	755	2252
251	757	2248
252	759	2241
253	761	2236
254	763	2231
255	765	2225
256	767	2220
257	770	2216
258	772	2210
259	775	2208
260	778	2204
261	781	2200
262	783	2196
263	787	2195
264	790	2191
265	792	2186
266	795	2183
267	797	2178
268	799	2173
269	803	2172
270	805	2167
271	807	2162
272	810	2158
273	812	2153
274	815	2148
275	817	2145
276	820	2142
277	823	2137
278	825	2132
279	828	2129
280	830	2124
281	834	2124
282	837	2120
283	839	2115
284	841	2110
285	844	2109
286	852	2117
287	855	2115
288	860	2117
289	865	2119
290	869	2119
291	872	2116
292	876	2115
293	882	2118
294	885	2116
295	889	2115
296	894	2116
297	901	2122
298	905	2121
299	912	2128
300	967	2247
301	1020	2357
302	1042	2399
303	1047	2398
304	1049	2392
305	1051	2385
306	1053	2379
307	1056	2374
308	1088	2434
309	1091	2430
310	1099	2436
311	1102	2431
312	1104	2424
313	1106	2418
314	1108	2411
315	1111	2404
316	1112	2397
317	1114	2390
318	1116	2382
319	1117	2375
320	1119	2367
321	1121	2360
322	1122	2353
323	1125	2347
324	1127	2341
325	1129	2334
326	1130	2327
327	1132	2320
328	1134	2314
329	1136	2307
330	1137	2300
331	1142	2298
332	1145	2294
333	1150	2294
334	1153	2289
335	1164	2301
336	1167	2297
337	1170	2292
338	1174	2291
339	1182	2295
340	1189	2299
341	1194	2297
342	1200	2298
343	1203	2294
344	1206	2291
345	1209	2286
346	1212	2280
347	1214	2275
348	1216	2269
349	1218	2263
350	1221	2258
351	1224	2253
352	1226	2247
353	1228	2241
354	1230	2235
355	1232	2229
356	1235	2224
357	1238	2221
358	1240	2215
359	1242	2209
360	1245	2204
361	1247	2199
362	1250	2193
363	1253	2189
364	1255	2184
365	1258	2179
366	1260	2173
367	1262	2167
368	1264	2161
369	1265	2155
370	1268	2150
371	1271	2146
372	1273	2140
373	1275	2134
374	1278	2130
375	1279	2123
376	1281	2117
377	1283	2111
378	1285	2106
379	1287	2101
380	1290	2096
381	1292	2090
382	1294	2084
383	1296	2079
384	1297	2073
385	1300	2069
386	1302	2063
387	1304	2058
388	1306	2052
389	1307	2045
390	1309	2039
391	1311	2033
392	1312	2027
393	1314	2022
394	1317	2017
395	1319	2012
396	1321	2006
397	1322	2001
398	1324	1995
399	1326	1989
400	1328	1984
401	1330	1978
402	1333	1975
403	1335	1970
404	1337	1964
405	1339	1959
406	1340	1953
407	1342	1947
408	1344	1942
409	1346	1936
410	1348	1932
411	1350	1927
412	1351	1921
413	1353	1915
414	1355	1911
415	1358	1906
416	1360	1901
417	1363	1898
418	1366	1894
419	1368	1889
420	1370	1884
421	1371	1878
422	1373	1873
423	1374	1867
424	1376	1862
425	1380	1859
426	1382	1854
427	1383	1849
428	1385	1843
429	1386	1838
430	1388	1832
431	1390	1827
432	1391	1822
433	1394	1818
434	1396	1813
435	1398	1808
436	1399	1803
437	1401	1798
438	1403	1793
439	1404	1787
440	1406	1782
441	1408	1778
442	1410	1774
443	1412	1768
444	1414	1763
445	1415	1758
446	1417	1753
447	1419	1748
448	1420	1743
449	1422	1738
450	1424	1734
451	1427	1730
452	1428	1725
453	1430	1720
454	1432	1715
455	1433	1710
456	1435	1705
457	1437	1700
458	1439	1696
459	1441	1692
460	1443	1687
461	1445	1682
462	1446	1678
463	1448	1673
464	1450	1669
465	1452	1664
466	1454	1660
467	1457	1656
468	1458	1651
469	1460	1646
470	1462	1642
471	1463	1637
472	1465	1632
473	1467	1628
474	1468	1623
475	1470	1618
476	1473	1615
477	1474	1610
478	1476	1606
479	1478	1601
480	1479	1596
481	1481	1592
482	1483	1587
483	1484	1583
484	1486	1578
485	1489	1574
486	1490	1570
487	1492	1565
488	1494	1561
489	1495	1556
490	1497	1552
491	1499	1547
492	1500	1543
493	1502	1538
